"Name","Pin","Function","Symbolic name","Direction","Mode","Pad level","Pad strength","Pin function","Pad class","Power domain","Reset state"
"AGBTCLKN (VSS)","L7","","","","","","","","LVDS_RX","VEXT",""
"AGBTCLKP (VSS)","K7","","","","","","","","LVDS_RX","VEXT",""
"AGBTERR (VSS)","L14","","","","","","","","FAST","VEXT","PD"
"AGBTTXN (VSS)","P10","","","","","","","","LVDS_TX","VEXT",""
"AGBTTXP (VSS)","P11","","","","","","","","LVDS_TX","VEXT",""
"AN0","T10","","","","","","","","D","VDDM","HighZ"
"AN1","U10","","","","","","","","D","VDDM","HighZ"
"AN2","W9","","","","","","","","D","VDDM","HighZ"
"AN3","U9","","","","","","","","D","VDDM","HighZ"
"AN4","T9","","","","","","","","D","VDDM","HighZ"
"AN5","Y9","","","","","","","","D","VDDM","HighZ"
"AN6","T8","","","","","","","","D","VDDM","HighZ"
"AN7","U8","","","","","","","","D","VDDM","HighZ"
"AN8","W8","","","","","","","","D","VDDM","HighZ"
"AN9","U7","","","","","","","","D","VDDM","HighZ"
"AN10","Y8","","","","","","","","D","VDDM","HighZ"
"AN11","W7","","","","","","","","D","VDDM","HighZ"
"AN12","T7","","","","","","","","D","VDDM","HighZ"
"AN13","W6","","","","","","","","D","VDDM","HighZ"
"AN14","U6","","","","","","","","D","VDDM","HighZ"
"AN15","T6","","","","","","","","D","VDDM","HighZ"
"AN16","W5","","","","","","","","D","VDDM","HighZ"
"AN20","Y3","","","","","","","","D","VDDM","HighZ"
"AN21","Y2","","","","","","","","D","VDDM","HighZ"
"AN22","T5","","","","","","","","D","VDDM","HighZ"
"AN23","R5","","","","","","","","D","VDDM","HighZ"
"AN30","T4","","","","","","","","D","VDDM","HighZ"
"AN31","R4","","","","","","","","D","VDDM","HighZ"
"AN34","P5","","","","","","","","D","VDDM","HighZ"
"AN35","R2","","","","","","","","D","VDDM","HighZ"
"AN40","M5","","","","","","","","D","VDDM","HighZ"
"AN41","M4","","","","","","","","D","VDDM","HighZ"
"AN42","L5","","","","","","","","D","VDDM","HighZ"
"AN43","L4","","","","","","","","D","VDDM","HighZ"
"AN44","N1","","","","","","","","D","VDDM","HighZ"
"AN45","N2","","","","","","","","D","VDDM","HighZ"
"AN46","M1","","","","","","","","D","VDDM","HighZ"
"AN47","M2","","","","","","","","D","VDDM","HighZ"
"AN17/P40.10","U5","","","","Tri-state","","","Digital","S","VDDM","HighZ"
"AN18/P40.11","W4","","","","Tri-state","","","Digital","S","VDDM","HighZ"
"AN19/P40.12","W3","","","","Tri-state","","","Digital","S","VDDM","HighZ"
"AN24/P40.0","W2","","","","Tri-state","","","Digital","S","VDDM","HighZ"
"AN25/P40.1","W1","","","","Tri-state","","","Digital","S","VDDM","HighZ"
